clean_tweet,label
what a loser,1
i really enjoy this application,0
i will destroy you,1
this is very useful,0
i hate you,1
i really enjoy this application,0
great work team,0
you are stupid,1
i really enjoy this application,0
go to hell,1
excellent experience,0
i am very satisfied,0
you are so dumb,1
i will destroy you,1
i hate you,1
great work team,0
great work team,0
this service is amazing,0
i really enjoy this application,0
this service is amazing,0
i really enjoy this application,0
this service is amazing,0
everything works perfectly,0
go to hell,1
this is very useful,0
great work team,0
shut up idiot,1
shut up idiot,1
i am very satisfied,0
go to hell,1
go to hell,1
what a beautiful day,0
i love this product,0
what a loser,1
this is the worst thing ever,1
i hate you,1
you are so dumb,1
i love this product,0
excellent experience,0
i hate you,1
what a beautiful day,0
go to hell,1
everything works perfectly,0
thank you for your help,0
this is very useful,0
i am very satisfied,0
you make me sick,1
excellent experience,0
what a loser,1
thank you for your help,0
shut up idiot,1
you are stupid,1
this is very useful,0
what a beautiful day,0
this service is amazing,0
i will destroy you,1
this is the worst thing ever,1
i really enjoy this application,0
what a beautiful day,0
i hate you,1
this is the worst thing ever,1
go to hell,1
i am very satisfied,0
this service is amazing,0
shut up idiot,1
this service is amazing,0
this is the worst thing ever,1
what a beautiful day,0
shut up idiot,1
i really enjoy this application,0
this service is amazing,0
you are so dumb,1
excellent experience,0
i love this product,0
excellent experience,0
excellent experience,0
this is very useful,0
shut up idiot,1
this is very useful,0
you are stupid,1
i am very satisfied,0
everything works perfectly,0
this is the worst thing ever,1
you make me sick,1
i am very satisfied,0
great work team,0
i will destroy you,1
i really enjoy this application,0
great work team,0
what a beautiful day,0
excellent experience,0
what a loser,1
i really enjoy this application,0
go to hell,1
everything works perfectly,0
you are stupid,1
i am very satisfied,0
i really enjoy this application,0
this is very useful,0
great work team,0
you are so dumb,1
you make me sick,1
go to hell,1
shut up idiot,1
this service is amazing,0
great work team,0
you are stupid,1
what a beautiful day,0
what a loser,1
i really enjoy this application,0
i love this product,0
i am very satisfied,0
great work team,0
you are useless,1
i love this product,0
everything works perfectly,0
you are useless,1
i will destroy you,1
you are stupid,1
shut up idiot,1
excellent experience,0
thank you for your help,0
go to hell,1
excellent experience,0
go to hell,1
i love this product,0
thank you for your help,0
this is very useful,0
this is very useful,0
i hate you,1
i love this product,0
go to hell,1
you are so dumb,1
you are useless,1
what a loser,1
i really enjoy this application,0
everything works perfectly,0
everything works perfectly,0
i will destroy you,1
shut up idiot,1
you make me sick,1
this is very useful,0
go to hell,1
this is the worst thing ever,1
great work team,0
you are stupid,1
great work team,0
i love this product,0
excellent experience,0
this is very useful,0
i really enjoy this application,0
shut up idiot,1
everything works perfectly,0
you are so dumb,1
this is the worst thing ever,1
shut up idiot,1
you are stupid,1
this is very useful,0
i am very satisfied,0
what a loser,1
what a beautiful day,0
go to hell,1
what a loser,1
shut up idiot,1
i am very satisfied,0
this service is amazing,0
go to hell,1
excellent experience,0
this is the worst thing ever,1
i will destroy you,1
great work team,0
i will destroy you,1
i really enjoy this application,0
you are useless,1
thank you for your help,0
great work team,0
i will destroy you,1
i love this product,0
go to hell,1
excellent experience,0
i really enjoy this application,0
shut up idiot,1
everything works perfectly,0
this is very useful,0
you make me sick,1
great work team,0
everything works perfectly,0
you are stupid,1
this service is amazing,0
thank you for your help,0
you are useless,1
i love this product,0
thank you for your help,0
this service is amazing,0
what a beautiful day,0
thank you for your help,0
everything works perfectly,0
thank you for your help,0
you are so dumb,1
i will destroy you,1
you are stupid,1
everything works perfectly,0
you are stupid,1
great work team,0
you are so dumb,1
i am very satisfied,0
i will destroy you,1
great work team,0
you are so dumb,1
you are stupid,1
what a loser,1
what a beautiful day,0
i really enjoy this application,0
you are stupid,1
what a loser,1
i will destroy you,1
i hate you,1
go to hell,1
what a beautiful day,0
i am very satisfied,0
what a beautiful day,0
what a loser,1
this is very useful,0
i hate you,1
you make me sick,1
i love this product,0
go to hell,1
this is the worst thing ever,1
you make me sick,1
i hate you,1
this is very useful,0
everything works perfectly,0
what a loser,1
i am very satisfied,0
excellent experience,0
i will destroy you,1
you are useless,1
excellent experience,0
you make me sick,1
shut up idiot,1
excellent experience,0
excellent experience,0
i will destroy you,1
excellent experience,0
go to hell,1
i am very satisfied,0
you make me sick,1
you are useless,1
you are useless,1
you make me sick,1
you are useless,1
great work team,0
go to hell,1
what a loser,1
what a beautiful day,0
i love this product,0
this is very useful,0
shut up idiot,1
go to hell,1
i will destroy you,1
i am very satisfied,0
you are so dumb,1
i hate you,1
this is very useful,0
i hate you,1
you are useless,1
you are stupid,1
what a beautiful day,0
you are useless,1
i hate you,1
you are so dumb,1
you make me sick,1
everything works perfectly,0
you are stupid,1
this is very useful,0
you make me sick,1
i am very satisfied,0
you make me sick,1
shut up idiot,1
excellent experience,0
i am very satisfied,0
i am very satisfied,0
this is very useful,0
i love this product,0
you are stupid,1
everything works perfectly,0
great work team,0
this service is amazing,0
you are so dumb,1
shut up idiot,1
you are useless,1
i really enjoy this application,0
you are useless,1
excellent experience,0
thank you for your help,0
what a beautiful day,0
i will destroy you,1
shut up idiot,1
you make me sick,1
i am very satisfied,0
i am very satisfied,0
go to hell,1
shut up idiot,1
thank you for your help,0
go to hell,1
you are so dumb,1
i am very satisfied,0
i hate you,1
great work team,0
you make me sick,1
what a loser,1
you are so dumb,1
you are useless,1
i hate you,1
you are stupid,1
what a loser,1
i hate you,1
you make me sick,1
thank you for your help,0
you make me sick,1
you are stupid,1
i love this product,0
what a beautiful day,0
you are useless,1
i will destroy you,1
excellent experience,0
you are useless,1
this is the worst thing ever,1
i will destroy you,1
this service is amazing,0
what a beautiful day,0
i am very satisfied,0
i will destroy you,1
you are useless,1
i really enjoy this application,0
this service is amazing,0
thank you for your help,0
thank you for your help,0
what a loser,1
what a beautiful day,0
i am very satisfied,0
great work team,0
i will destroy you,1
i hate you,1
you are useless,1
thank you for your help,0
this service is amazing,0
you are useless,1
shut up idiot,1
this service is amazing,0
i am very satisfied,0
what a beautiful day,0
this is the worst thing ever,1
what a beautiful day,0
shut up idiot,1
everything works perfectly,0
excellent experience,0
excellent experience,0
what a loser,1
what a beautiful day,0
go to hell,1
you are so dumb,1
what a beautiful day,0
you are stupid,1
this service is amazing,0
excellent experience,0
thank you for your help,0
this is very useful,0
i love this product,0
you are useless,1
what a loser,1
what a loser,1
shut up idiot,1
i am very satisfied,0
you are so dumb,1
shut up idiot,1
this is very useful,0
excellent experience,0
this service is amazing,0
i love this product,0
i am very satisfied,0
shut up idiot,1
i really enjoy this application,0
shut up idiot,1
this service is amazing,0
i hate you,1
what a loser,1
what a beautiful day,0
you are so dumb,1
i hate you,1
you are so dumb,1
this is the worst thing ever,1
this is very useful,0
everything works perfectly,0
excellent experience,0
shut up idiot,1
you are stupid,1
you are useless,1
i love this product,0
i really enjoy this application,0
what a loser,1
thank you for your help,0
great work team,0
this service is amazing,0
this service is amazing,0
i am very satisfied,0
everything works perfectly,0
everything works perfectly,0
great work team,0
excellent experience,0
this service is amazing,0
you make me sick,1
i am very satisfied,0
you are so dumb,1
excellent experience,0
i love this product,0
excellent experience,0
you are so dumb,1
what a loser,1
you make me sick,1
everything works perfectly,0
what a beautiful day,0
go to hell,1
you are stupid,1
you are so dumb,1
this is the worst thing ever,1
i really enjoy this application,0
go to hell,1
great work team,0
i love this product,0
this is the worst thing ever,1
i am very satisfied,0
you are so dumb,1
thank you for your help,0
go to hell,1
i hate you,1
i really enjoy this application,0
you are so dumb,1
you are stupid,1
you are stupid,1
i really enjoy this application,0
you make me sick,1
what a loser,1
what a beautiful day,0
go to hell,1
thank you for your help,0
thank you for your help,0
this service is amazing,0
you are stupid,1
i love this product,0
you are useless,1
i really enjoy this application,0
i hate you,1
this is the worst thing ever,1
this service is amazing,0
this is very useful,0
shut up idiot,1
i really enjoy this application,0
this is the worst thing ever,1
you are useless,1
everything works perfectly,0
this is the worst thing ever,1
everything works perfectly,0
go to hell,1
i hate you,1
you are useless,1
excellent experience,0
what a beautiful day,0
everything works perfectly,0
everything works perfectly,0
you are useless,1
excellent experience,0
i really enjoy this application,0
you make me sick,1
what a beautiful day,0
this is the worst thing ever,1
this service is amazing,0
i really enjoy this application,0
this is very useful,0
everything works perfectly,0
go to hell,1
you are so dumb,1
what a beautiful day,0
i will destroy you,1
you are stupid,1
go to hell,1
you make me sick,1
this is the worst thing ever,1
i hate you,1
great work team,0
what a loser,1
shut up idiot,1
i will destroy you,1
thank you for your help,0
you are so dumb,1
this service is amazing,0
go to hell,1
everything works perfectly,0
i will destroy you,1
you are so dumb,1
I despise everything about you!,1
Tu es désespéré !,1
Je me sens inspiré !,0
Tu as parfaitement réussi !,0
You're completely useless!,1
Tu me dégoûtes !,1
Je te déteste totalement !,1
You did a great job!,0
C'est vraiment génial !,0
Tout ce que tu fais est pathétique !,1
You're a complete idiot!,1
Tu me dégoûtes !,1
You're ruining everything!,1
Tu as parfaitement réussi !,0
Je méprise tout ce qui te concerne !,1
Je ne supporte pas ton visage !,1
You make me happy!,0
Tu as parfaitement réussi !,0
C'est vraiment génial !,0
Thanks for your support!,0
Everything is going well!,0
C'est fantastique !,0
What a wonderful day!,0
I'm proud of you!,0
This made my day!,0
This is so amazing!,0
Quelle belle expérience !,0
Everything is going well!,0
Everything is going well!,0
Tout ce que tu fais est pathétique !,1
You disgust me!,1
You're completely useless!,1
Je suis fier de toi !,0
Tu es incroyable !,0
You disgust me!,1
I hate your guts!,1
You're worthless!,1
C'est la chose la plus agaçante qui soit !,1
C'est la chose la plus agaçante qui soit !,1
You make me happy!,0
I never want to see you again!,1
Tu es complètement idiot !,1
You are very kind!,0
Everything is going well!,0
J'adore ce produit !,0
Je suis fier de toi !,0
"Dégage, personne ne t'aime ici !",1
I feel inspired!,0
Quelle belle journée !,0
You disgust me!,1
J'adore ce produit !,0
You are very talented!,0
Je méprise tout ce qui te concerne !,1
Quel moment charmant !,0
Je me sens inspiré !,0
C'est fantastique !,0
This is fantastic!,0
Everything you do is pathetic!,1
Tu es sans valeur !,1
This is disgusting and stupid!,1
You're worthless!,1
Such a lovely moment!,0
This is the most annoying thing ever!,1
You did perfectly!,0
This made my day!,0
You're a complete idiot!,1
Everything is going well!,0
J'adore ce produit !,0
Tu as parfaitement réussi !,0
Tu es incroyable !,0
Quelle belle journée !,0
Cela a égayé ma journée !,0
You are very talented!,0
Je méprise tout ce qui te concerne !,1
Everything is going well!,0
You're ruining everything!,1
Quel moment charmant !,0
C'est fantastique !,0
Je ne supporte pas ton visage !,1
Tu es très gentil !,0
"Go away, nobody likes you!",1
I never want to see you again!,1
You make me happy!,0
Merci pour ton aide !,0
You're a complete idiot!,1
Continue ton excellent travail !,0
Keep up the great work!,0
Tu es complètement inutile !,1
Everything is going well!,0
I feel inspired!,0
C'est la chose la plus agaçante qui soit !,1
You are very talented!,0
Quelle horrible personne !,1
Je méprise tout ce qui te concerne !,1
"Get lost, nobody wants you here!",1
This is the most annoying thing ever!,1
You're worthless!,1
I hate you so much!,1
"Get lost, nobody wants you here!",1
Continue ton excellent travail !,0
"Arrête de parler, imbécile !",1
You disgust me!,1
Tu me dégoûtes !,1
Tu es très gentil !,0
C'est absolument dégoûtant et ridicule !,1
I appreciate your help!,0
This is disgusting and stupid!,1
Je ne veux plus jamais te voir !,1
Keep up the great work!,0
I never want to see you again!,1
Tu ruines tout !,1
Tu es très talentueux !,0
You are amazing!,0
You disgust me!,1
This made my day!,0
You're a complete idiot!,1
"Go away, nobody likes you!",1
I appreciate your help!,0
Everything you do is pathetic!,1
You are very kind!,0
Tu es très gentil !,0
Je déteste tes tripes !,1
"Arrête de parler, imbécile !",1
What a beautiful experience!,0
Merci pour ton soutien !,0
I despise everything about you!,1
Tu es très gentil !,0
What a beautiful experience!,0
Je ne supporte pas ton visage !,1
Je suis fier de toi !,0
Quelle horrible personne !,1
"Get lost, nobody wants you here!",1
"Arrête de parler, imbécile !",1
Je me sens inspiré !,0
Tu es très gentil !,0
Je ne veux plus jamais te voir !,1
"Stop talking, you fool!",1
Everything you do is pathetic!,1
"Arrête de parler, imbécile !",1
Quelle belle journée !,0
Tu as fait un excellent travail !,0
Merci pour ton soutien !,0
"Stop talking, you fool!",1
Quelle belle journée !,0
You're the worst person ever!,1
"Casse-toi, personne ne te veut ici !",1
Tu es complètement idiot !,1
Tout se passe bien !,0
This is disgusting and stupid!,1
Such a lovely moment!,0
Je me sens inspiré !,0
This is disgusting and stupid!,1
What a beautiful experience!,0
I feel inspired!,0
"Shut up, nobody cares!",1
C'est absolument dégoûtant et ridicule !,1
"Stop talking, you fool!",1
I can't stand your face!,1
Tout ce que tu fais est pathétique !,1
Such a lovely moment!,0
J'adore ce produit !,0
"Go away, nobody likes you!",1
You disgust me!,1
What a beautiful experience!,0
J'apprécie tellement ça !,0
Tu as parfaitement réussi !,0
Quelle horrible personne !,1
C'est vraiment génial !,0
Tu es incroyable !,0
C'est la chose la plus agaçante qui soit !,1
You are amazing!,0
C'est fantastique !,0
You're a complete idiot!,1
Tu es très gentil !,0
You are very talented!,0
Tu es incroyable !,0
Tu as parfaitement réussi !,0
Tu me rends heureux !,0
Je déteste tes tripes !,1
I appreciate your help!,0
C'est fantastique !,0
You're the worst person ever!,1
Quelle belle journée !,0
Quel moment charmant !,0
You did perfectly!,0
Quel moment charmant !,0
"Dégage, personne ne t'aime ici !",1
Quel moment charmant !,0
Tu es complètement inutile !,1
Tout ce que tu fais est pathétique !,1
This made my day!,0
Quelle belle journée !,0
You are very kind!,0
Tu es complètement inutile !,1
"Go away, nobody likes you!",1
Tout ce que tu fais est pathétique !,1
Merci pour ton soutien !,0
You did perfectly!,0
You're a complete idiot!,1
Je me sens inspiré !,0
"Arrête de parler, imbécile !",1
"Dégage, personne ne t'aime ici !",1
You're the worst person ever!,1
I hate you so much!,1
Tu es complètement idiot !,1
Je ne supporte pas ton visage !,1
"Tais-toi, personne ne s'en soucie !",1
Tu es très talentueux !,0
Tu es complètement idiot !,1
Tu as fait un excellent travail !,0
I hate you so much!,1
Tu es très gentil !,0
I'm proud of you!,0
This made my day!,0
Continue ton excellent travail !,0
What a horrible person!,1
Tu ruines tout !,1
Such a lovely moment!,0
Je ne supporte pas ton visage !,1
You are very kind!,0
You're the worst person ever!,1
You're worthless!,1
Je ne veux plus jamais te voir !,1
I enjoy this so much!,0
"Arrête de parler, imbécile !",1
"Arrête de parler, imbécile !",1
Je méprise tout ce qui te concerne !,1
You're completely useless!,1
I appreciate your help!,0
What a horrible person!,1
J'adore ce produit !,0
"Tais-toi, personne ne s'en soucie !",1
C'est fantastique !,0
Merci pour ton aide !,0
You make me happy!,0
Je te déteste totalement !,1
I appreciate your help!,0
"Get lost, nobody wants you here!",1
"Tais-toi, personne ne s'en soucie !",1
Je ne supporte pas ton visage !,1
I hate you so much!,1
I hate your guts!,1
Tout se passe bien !,0
I despise everything about you!,1
I love this!,0
Cela a égayé ma journée !,0
What a wonderful day!,0
Keep up the great work!,0
Cela a égayé ma journée !,0
I never want to see you again!,1
"Arrête de parler, imbécile !",1
Tu as fait un excellent travail !,0
Tu as fait un excellent travail !,0
Everything you do is pathetic!,1
You are hopeless!,1
C'est la chose la plus agaçante qui soit !,1
Quelle belle journée !,0
Quel moment charmant !,0
What a beautiful experience!,0
I never want to see you again!,1
Everything you do is pathetic!,1
You are very talented!,0
Je ne supporte pas ton visage !,1
You're completely useless!,1
Merci pour ton aide !,0
Je ne supporte pas ton visage !,1
C'est fantastique !,0
Quelle belle expérience !,0
Je déteste tes tripes !,1
"Shut up, nobody cares!",1
You are very kind!,0
Je te déteste totalement !,1
You're a complete idiot!,1
Tu me rends heureux !,0
You're worthless!,1
Je me sens inspiré !,0
Je me sens inspiré !,0
Everything is going well!,0
Je déteste tes tripes !,1
This made my day!,0
Everything is going well!,0
Quel moment charmant !,0
C'est absolument dégoûtant et ridicule !,1
"Casse-toi, personne ne te veut ici !",1
I enjoy this so much!,0
Tu es sans valeur !,1
I appreciate your help!,0
Such a lovely moment!,0
J'adore ce produit !,0
C'est la chose la plus agaçante qui soit !,1
What a beautiful experience!,0
C'est fantastique !,0
Tu es désespéré !,1
I hate your guts!,1
What a horrible person!,1
I never want to see you again!,1
Tu ruines tout !,1
