text,toxicity
what a loser,toxic
i really enjoy this application,clean
i will destroy you,toxic
this is very useful,clean
i hate you,toxic
i really enjoy this application,clean
great work team,clean
you are stupid,toxic
i really enjoy this application,clean
go to hell,toxic
excellent experience,clean
i am very satisfied,clean
you are so dumb,toxic
i will destroy you,toxic
i hate you,toxic
great work team,clean
great work team,clean
this service is amazing,clean
i really enjoy this application,clean
this service is amazing,clean
i really enjoy this application,clean
this service is amazing,clean
everything works perfectly,clean
go to hell,toxic
this is very useful,clean
great work team,clean
shut up idiot,toxic
shut up idiot,toxic
i am very satisfied,clean
go to hell,toxic
go to hell,toxic
what a beautiful day,clean
i love this product,clean
what a loser,toxic
this is the worst thing ever,toxic
i hate you,toxic
you are so dumb,toxic
i love this product,clean
excellent experience,clean
i hate you,toxic
what a beautiful day,clean
go to hell,toxic
everything works perfectly,clean
thank you for your help,clean
this is very useful,clean
i am very satisfied,clean
you make me sick,toxic
excellent experience,clean
what a loser,toxic
thank you for your help,clean
shut up idiot,toxic
you are stupid,toxic
this is very useful,clean
what a beautiful day,clean
this service is amazing,clean
i will destroy you,toxic
this is the worst thing ever,toxic
i really enjoy this application,clean
what a beautiful day,clean
i hate you,toxic
this is the worst thing ever,toxic
go to hell,toxic
i am very satisfied,clean
this service is amazing,clean
shut up idiot,toxic
this service is amazing,clean
this is the worst thing ever,toxic
what a beautiful day,clean
shut up idiot,toxic
i really enjoy this application,clean
this service is amazing,clean
you are so dumb,toxic
excellent experience,clean
i love this product,clean
excellent experience,clean
excellent experience,clean
this is very useful,clean
shut up idiot,toxic
this is very useful,clean
you are stupid,toxic
i am very satisfied,clean
everything works perfectly,clean
this is the worst thing ever,toxic
you make me sick,toxic
i am very satisfied,clean
great work team,clean
i will destroy you,toxic
i really enjoy this application,clean
great work team,clean
what a beautiful day,clean
excellent experience,clean
what a loser,toxic
i really enjoy this application,clean
go to hell,toxic
everything works perfectly,clean
you are stupid,toxic
i am very satisfied,clean
i really enjoy this application,clean
this is very useful,clean
great work team,clean
you are so dumb,toxic
you make me sick,toxic
go to hell,toxic
shut up idiot,toxic
this service is amazing,clean
great work team,clean
you are stupid,toxic
what a beautiful day,clean
what a loser,toxic
i really enjoy this application,clean
i love this product,clean
i am very satisfied,clean
great work team,clean
you are useless,toxic
i love this product,clean
everything works perfectly,clean
you are useless,toxic
i will destroy you,toxic
you are stupid,toxic
shut up idiot,toxic
excellent experience,clean
thank you for your help,clean
go to hell,toxic
excellent experience,clean
go to hell,toxic
i love this product,clean
thank you for your help,clean
this is very useful,clean
this is very useful,clean
i hate you,toxic
i love this product,clean
go to hell,toxic
you are so dumb,toxic
you are useless,toxic
what a loser,toxic
i really enjoy this application,clean
everything works perfectly,clean
everything works perfectly,clean
i will destroy you,toxic
shut up idiot,toxic
you make me sick,toxic
this is very useful,clean
go to hell,toxic
this is the worst thing ever,toxic
great work team,clean
you are stupid,toxic
great work team,clean
i love this product,clean
excellent experience,clean
this is very useful,clean
i really enjoy this application,clean
shut up idiot,toxic
everything works perfectly,clean
you are so dumb,toxic
this is the worst thing ever,toxic
shut up idiot,toxic
you are stupid,toxic
this is very useful,clean
i am very satisfied,clean
what a loser,toxic
what a beautiful day,clean
go to hell,toxic
what a loser,toxic
shut up idiot,toxic
i am very satisfied,clean
this service is amazing,clean
go to hell,toxic
excellent experience,clean
this is the worst thing ever,toxic
i will destroy you,toxic
great work team,clean
i will destroy you,toxic
i really enjoy this application,clean
you are useless,toxic
thank you for your help,clean
great work team,clean
i will destroy you,toxic
i love this product,clean
go to hell,toxic
excellent experience,clean
i really enjoy this application,clean
shut up idiot,toxic
everything works perfectly,clean
this is very useful,clean
you make me sick,toxic
great work team,clean
everything works perfectly,clean
you are stupid,toxic
this service is amazing,clean
thank you for your help,clean
you are useless,toxic
i love this product,clean
thank you for your help,clean
this service is amazing,clean
what a beautiful day,clean
thank you for your help,clean
everything works perfectly,clean
thank you for your help,clean
you are so dumb,toxic
i will destroy you,toxic
you are stupid,toxic
everything works perfectly,clean
you are stupid,toxic
great work team,clean
you are so dumb,toxic
i am very satisfied,clean
i will destroy you,toxic
great work team,clean
you are so dumb,toxic
you are stupid,toxic
what a loser,toxic
what a beautiful day,clean
i really enjoy this application,clean
you are stupid,toxic
what a loser,toxic
i will destroy you,toxic
i hate you,toxic
go to hell,toxic
what a beautiful day,clean
i am very satisfied,clean
what a beautiful day,clean
what a loser,toxic
this is very useful,clean
i hate you,toxic
you make me sick,toxic
i love this product,clean
go to hell,toxic
this is the worst thing ever,toxic
you make me sick,toxic
i hate you,toxic
this is very useful,clean
everything works perfectly,clean
what a loser,toxic
i am very satisfied,clean
excellent experience,clean
i will destroy you,toxic
you are useless,toxic
excellent experience,clean
you make me sick,toxic
shut up idiot,toxic
excellent experience,clean
excellent experience,clean
i will destroy you,toxic
excellent experience,clean
go to hell,toxic
i am very satisfied,clean
you make me sick,toxic
you are useless,toxic
you are useless,toxic
you make me sick,toxic
you are useless,toxic
great work team,clean
go to hell,toxic
what a loser,toxic
what a beautiful day,clean
i love this product,clean
this is very useful,clean
shut up idiot,toxic
go to hell,toxic
i will destroy you,toxic
i am very satisfied,clean
you are so dumb,toxic
i hate you,toxic
this is very useful,clean
i hate you,toxic
you are useless,toxic
you are stupid,toxic
what a beautiful day,clean
you are useless,toxic
i hate you,toxic
you are so dumb,toxic
you make me sick,toxic
everything works perfectly,clean
you are stupid,toxic
this is very useful,clean
you make me sick,toxic
i am very satisfied,clean
you make me sick,toxic
shut up idiot,toxic
excellent experience,clean
i am very satisfied,clean
i am very satisfied,clean
this is very useful,clean
i love this product,clean
you are stupid,toxic
everything works perfectly,clean
great work team,clean
this service is amazing,clean
you are so dumb,toxic
shut up idiot,toxic
you are useless,toxic
i really enjoy this application,clean
you are useless,toxic
excellent experience,clean
thank you for your help,clean
what a beautiful day,clean
i will destroy you,toxic
shut up idiot,toxic
you make me sick,toxic
i am very satisfied,clean
i am very satisfied,clean
go to hell,toxic
shut up idiot,toxic
thank you for your help,clean
go to hell,toxic
you are so dumb,toxic
i am very satisfied,clean
i hate you,toxic
great work team,clean
you make me sick,toxic
what a loser,toxic
you are so dumb,toxic
you are useless,toxic
i hate you,toxic
you are stupid,toxic
what a loser,toxic
i hate you,toxic
you make me sick,toxic
thank you for your help,clean
you make me sick,toxic
you are stupid,toxic
i love this product,clean
what a beautiful day,clean
you are useless,toxic
i will destroy you,toxic
excellent experience,clean
you are useless,toxic
this is the worst thing ever,toxic
i will destroy you,toxic
this service is amazing,clean
what a beautiful day,clean
i am very satisfied,clean
i will destroy you,toxic
you are useless,toxic
i really enjoy this application,clean
this service is amazing,clean
thank you for your help,clean
thank you for your help,clean
what a loser,toxic
what a beautiful day,clean
i am very satisfied,clean
great work team,clean
i will destroy you,toxic
i hate you,toxic
you are useless,toxic
thank you for your help,clean
this service is amazing,clean
you are useless,toxic
shut up idiot,toxic
this service is amazing,clean
i am very satisfied,clean
what a beautiful day,clean
this is the worst thing ever,toxic
what a beautiful day,clean
shut up idiot,toxic
everything works perfectly,clean
excellent experience,clean
excellent experience,clean
what a loser,toxic
what a beautiful day,clean
go to hell,toxic
you are so dumb,toxic
what a beautiful day,clean
you are stupid,toxic
this service is amazing,clean
excellent experience,clean
thank you for your help,clean
this is very useful,clean
i love this product,clean
you are useless,toxic
what a loser,toxic
what a loser,toxic
shut up idiot,toxic
i am very satisfied,clean
you are so dumb,toxic
shut up idiot,toxic
this is very useful,clean
excellent experience,clean
this service is amazing,clean
i love this product,clean
i am very satisfied,clean
shut up idiot,toxic
i really enjoy this application,clean
shut up idiot,toxic
this service is amazing,clean
i hate you,toxic
what a loser,toxic
what a beautiful day,clean
you are so dumb,toxic
i hate you,toxic
you are so dumb,toxic
this is the worst thing ever,toxic
this is very useful,clean
everything works perfectly,clean
excellent experience,clean
shut up idiot,toxic
you are stupid,toxic
you are useless,toxic
i love this product,clean
i really enjoy this application,clean
what a loser,toxic
thank you for your help,clean
great work team,clean
this service is amazing,clean
this service is amazing,clean
i am very satisfied,clean
everything works perfectly,clean
everything works perfectly,clean
great work team,clean
excellent experience,clean
this service is amazing,clean
you make me sick,toxic
i am very satisfied,clean
you are so dumb,toxic
excellent experience,clean
i love this product,clean
excellent experience,clean
you are so dumb,toxic
what a loser,toxic
you make me sick,toxic
everything works perfectly,clean
what a beautiful day,clean
go to hell,toxic
you are stupid,toxic
you are so dumb,toxic
this is the worst thing ever,toxic
i really enjoy this application,clean
go to hell,toxic
great work team,clean
i love this product,clean
this is the worst thing ever,toxic
i am very satisfied,clean
you are so dumb,toxic
thank you for your help,clean
go to hell,toxic
i hate you,toxic
i really enjoy this application,clean
you are so dumb,toxic
you are stupid,toxic
you are stupid,toxic
i really enjoy this application,clean
you make me sick,toxic
what a loser,toxic
what a beautiful day,clean
go to hell,toxic
thank you for your help,clean
thank you for your help,clean
this service is amazing,clean
you are stupid,toxic
i love this product,clean
you are useless,toxic
i really enjoy this application,clean
i hate you,toxic
this is the worst thing ever,toxic
this service is amazing,clean
this is very useful,clean
shut up idiot,toxic
i really enjoy this application,clean
this is the worst thing ever,toxic
you are useless,toxic
everything works perfectly,clean
this is the worst thing ever,toxic
everything works perfectly,clean
go to hell,toxic
i hate you,toxic
you are useless,toxic
excellent experience,clean
what a beautiful day,clean
everything works perfectly,clean
everything works perfectly,clean
you are useless,toxic
excellent experience,clean
i really enjoy this application,clean
you make me sick,toxic
what a beautiful day,clean
this is the worst thing ever,toxic
this service is amazing,clean
i really enjoy this application,clean
this is very useful,clean
everything works perfectly,clean
go to hell,toxic
you are so dumb,toxic
what a beautiful day,clean
i will destroy you,toxic
you are stupid,toxic
go to hell,toxic
you make me sick,toxic
this is the worst thing ever,toxic
i hate you,toxic
great work team,clean
what a loser,toxic
shut up idiot,toxic
i will destroy you,toxic
thank you for your help,clean
you are so dumb,toxic
this service is amazing,clean
go to hell,toxic
everything works perfectly,clean
i will destroy you,toxic
you are so dumb,toxic
You're the worst person ever!,toxic
Merci pour ton aide !,clean
C'est absolument dégoûtant et ridicule !,toxic
"Tais-toi, personne ne s'en soucie !",toxic
C'est vraiment génial !,clean
Tu es complètement inutile !,toxic
Thanks for your support!,clean
Tu es très talentueux !,clean
Tu me rends heureux !,clean
"Arrête de parler, imbécile !",toxic
Je méprise tout ce qui te concerne !,toxic
You are very kind!,clean
Everything is going well!,clean
Merci pour ton aide !,clean
Tu ruines tout !,toxic
You did a great job!,clean
This made my day!,clean
You're completely useless!,toxic
Such a lovely moment!,clean
J'apprécie tellement ça !,clean
I hate you so much!,toxic
Je déteste tes tripes !,toxic
You are amazing!,clean
Tu me rends heureux !,clean
This is disgusting and stupid!,toxic
You make me happy!,clean
This is fantastic!,clean
Tu as fait un excellent travail !,clean
Tu es incroyable !,clean
This is the most annoying thing ever!,toxic
You are amazing!,clean
Tu as fait un excellent travail !,clean
"Casse-toi, personne ne te veut ici !",toxic
Tout ce que tu fais est pathétique !,toxic
What a horrible person!,toxic
This is the most annoying thing ever!,toxic
This is so amazing!,clean
Continue ton excellent travail !,clean
Tu me rends heureux !,clean
Tu as fait un excellent travail !,clean
This is the most annoying thing ever!,toxic
Tu es très gentil !,clean
You are very kind!,clean
"Stop talking, you fool!",toxic
"Go away, nobody likes you!",toxic
J'adore ce produit !,clean
I appreciate your help!,clean
Quelle belle journée !,clean
"Tais-toi, personne ne s'en soucie !",toxic
You did perfectly!,clean
Tu es complètement idiot !,toxic
I never want to see you again!,toxic
Je suis fier de toi !,clean
This is the most annoying thing ever!,toxic
What a beautiful experience!,clean
C'est la chose la plus agaçante qui soit !,toxic
You did a great job!,clean
What a beautiful experience!,clean
You're a complete idiot!,toxic
Je ne veux plus jamais te voir !,toxic
C'est absolument dégoûtant et ridicule !,toxic
I'm proud of you!,clean
Quelle belle journée !,clean
Quel moment charmant !,clean
You are hopeless!,toxic
Tu me dégoûtes !,toxic
I hate your guts!,toxic
Je suis fier de toi !,clean
You make me happy!,clean
You did a great job!,clean
What a horrible person!,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
What a beautiful experience!,clean
C'est fantastique !,clean
I appreciate your help!,clean
You did perfectly!,clean
This is disgusting and stupid!,toxic
"Tais-toi, personne ne s'en soucie !",toxic
I hate your guts!,toxic
C'est absolument dégoûtant et ridicule !,toxic
"Dégage, personne ne t'aime ici !",toxic
This is fantastic!,clean
C'est fantastique !,clean
Tu es désespéré !,toxic
Je méprise tout ce qui te concerne !,toxic
"Go away, nobody likes you!",toxic
Tout ce que tu fais est pathétique !,toxic
Tout se passe bien !,clean
Continue ton excellent travail !,clean
Thanks for your support!,clean
What a beautiful experience!,clean
I feel inspired!,clean
You're the worst person ever!,toxic
"Tais-toi, personne ne s'en soucie !",toxic
You're completely useless!,toxic
Tu es complètement inutile !,toxic
J'apprécie tellement ça !,clean
Tu es la pire personne que j'aie jamais vue !,toxic
You make me happy!,clean
Thanks for your support!,clean
Quelle belle journée !,clean
Tu as parfaitement réussi !,clean
Je te déteste totalement !,toxic
Keep up the great work!,clean
"Go away, nobody likes you!",toxic
Thanks for your support!,clean
I feel inspired!,clean
I hate your guts!,toxic
I never want to see you again!,toxic
Je me sens inspiré !,clean
Cela a égayé ma journée !,clean
Je me sens inspiré !,clean
This is the most annoying thing ever!,toxic
Quelle horrible personne !,toxic
I hate you so much!,toxic
What a horrible person!,toxic
Everything is going well!,clean
Everything is going well!,clean
You did a great job!,clean
Quelle horrible personne !,toxic
Everything you do is pathetic!,toxic
Quelle belle journée !,clean
You are very talented!,clean
Tout se passe bien !,clean
You're completely useless!,toxic
C'est fantastique !,clean
Tu es sans valeur !,toxic
You make me happy!,clean
You're a complete idiot!,toxic
Tout se passe bien !,clean
Je déteste tes tripes !,toxic
Je me sens inspiré !,clean
C'est la chose la plus agaçante qui soit !,toxic
C'est vraiment génial !,clean
You make me happy!,clean
"Go away, nobody likes you!",toxic
Je te déteste totalement !,toxic
I feel inspired!,clean
Je me sens inspiré !,clean
Merci pour ton soutien !,clean
Quel moment charmant !,clean
Quelle belle expérience !,clean
Je déteste tes tripes !,toxic
This is fantastic!,clean
Everything is going well!,clean
I feel inspired!,clean
This made my day!,clean
J'apprécie tellement ça !,clean
This made my day!,clean
Tout ce que tu fais est pathétique !,toxic
Je ne veux plus jamais te voir !,toxic
"Tais-toi, personne ne s'en soucie !",toxic
Keep up the great work!,clean
Quel moment charmant !,clean
Thanks for your support!,clean
What a beautiful experience!,clean
"Shut up, nobody cares!",toxic
Tu es sans valeur !,toxic
I appreciate your help!,clean
Everything you do is pathetic!,toxic
Merci pour ton aide !,clean
Everything is going well!,clean
You are hopeless!,toxic
What a beautiful experience!,clean
This is the most annoying thing ever!,toxic
"Stop talking, you fool!",toxic
You are hopeless!,toxic
"Get lost, nobody wants you here!",toxic
You disgust me!,toxic
I feel inspired!,clean
Tu es très talentueux !,clean
Tout se passe bien !,clean
This made my day!,clean
Tu me rends heureux !,clean
You are hopeless!,toxic
Everything is going well!,clean
Tout ce que tu fais est pathétique !,toxic
Tu es complètement inutile !,toxic
Je ne veux plus jamais te voir !,toxic
J'apprécie tellement ça !,clean
"Get lost, nobody wants you here!",toxic
Continue ton excellent travail !,clean
Quelle belle expérience !,clean
Everything you do is pathetic!,toxic
Tu es très talentueux !,clean
Tu as parfaitement réussi !,clean
You are amazing!,clean
You make me happy!,clean
What a horrible person!,toxic
I never want to see you again!,toxic
Quelle belle journée !,clean
C'est la chose la plus agaçante qui soit !,toxic
Tu es très gentil !,clean
You are very kind!,clean
Je déteste tes tripes !,toxic
"Get lost, nobody wants you here!",toxic
You did a great job!,clean
Everything you do is pathetic!,toxic
You did perfectly!,clean
You're ruining everything!,toxic
J'apprécie tellement ça !,clean
You're completely useless!,toxic
You make me happy!,clean
You are amazing!,clean
J'apprécie tellement ça !,clean
This is disgusting and stupid!,toxic
Quelle belle journée !,clean
"Stop talking, you fool!",toxic
You disgust me!,toxic
Tu es sans valeur !,toxic
This is fantastic!,clean
Tu as fait un excellent travail !,clean
"Stop talking, you fool!",toxic
I hate your guts!,toxic
Tu me rends heureux !,clean
Everything you do is pathetic!,toxic
Tu ruines tout !,toxic
Tu me dégoûtes !,toxic
You disgust me!,toxic
Tu es sans valeur !,toxic
J'apprécie tellement ça !,clean
"Go away, nobody likes you!",toxic
Tu es incroyable !,clean
Je te déteste totalement !,toxic
"Go away, nobody likes you!",toxic
Je te déteste totalement !,toxic
This is the most annoying thing ever!,toxic
You disgust me!,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
This made my day!,clean
Quel moment charmant !,clean
Tu me dégoûtes !,toxic
I hate your guts!,toxic
"Get lost, nobody wants you here!",toxic
Tu es incroyable !,clean
You did perfectly!,clean
J'apprécie tellement ça !,clean
C'est vraiment génial !,clean
I despise everything about you!,toxic
Tu es très gentil !,clean
C'est vraiment génial !,clean
C'est absolument dégoûtant et ridicule !,toxic
You're the worst person ever!,toxic
Cela a égayé ma journée !,clean
This is the most annoying thing ever!,toxic
This is fantastic!,clean
Tu as fait un excellent travail !,clean
Cela a égayé ma journée !,clean
You did a great job!,clean
C'est fantastique !,clean
"Dégage, personne ne t'aime ici !",toxic
You are very talented!,clean
Tu es la pire personne que j'aie jamais vue !,toxic
I'm proud of you!,clean
Everything is going well!,clean
Tu es désespéré !,toxic
Continue ton excellent travail !,clean
I enjoy this so much!,clean
"Dégage, personne ne t'aime ici !",toxic
"Get lost, nobody wants you here!",toxic
You did a great job!,clean
I hate your guts!,toxic
"Arrête de parler, imbécile !",toxic
Cela a égayé ma journée !,clean
Tu es très talentueux !,clean
You're ruining everything!,toxic
Tout ce que tu fais est pathétique !,toxic
C'est la chose la plus agaçante qui soit !,toxic
Everything you do is pathetic!,toxic
Everything you do is pathetic!,toxic
You disgust me!,toxic
This is fantastic!,clean
C'est absolument dégoûtant et ridicule !,toxic
Tu ruines tout !,toxic
You're completely useless!,toxic
I appreciate your help!,clean
"Stop talking, you fool!",toxic
You are very talented!,clean
Continue ton excellent travail !,clean
Thanks for your support!,clean
Continue ton excellent travail !,clean
Continue ton excellent travail !,clean
"Get lost, nobody wants you here!",toxic
Tu es la pire personne que j'aie jamais vue !,toxic
Tu es complètement inutile !,toxic
C'est fantastique !,clean
You did a great job!,clean
Tu es très talentueux !,clean
This is fantastic!,clean
Everything you do is pathetic!,toxic
You are very kind!,clean
Tu ruines tout !,toxic
You are hopeless!,toxic
I hate you so much!,toxic
I appreciate your help!,clean
Such a lovely moment!,clean
Merci pour ton soutien !,clean
You did a great job!,clean
